UNIQID,NAME,fc,p-value
203980_at,FABP4,3.20952,0.0014
227140_at,NA,2.43023,0.00048
204914_s_at,SOX11,2.40931,0.00595
204913_s_at,SOX11,2.33465,0.00846
226695_at,PRRX1,2.18938,0.00024
201150_s_at,TIMP3,2.09981,0.00016
210511_s_at,INHBA,1.9063,0.00146
204915_s_at,SOX11,1.83973,0.01294
201147_s_at,TIMP3,1.75255,0.00054
221541_at,CRISPLD2,1.72277,0.00355
232523_at,MEGF10,1.69442,0.00337
204463_s_at,EDNRA,1.67891,0.00062
228821_at,ST6GAL2,1.66861,0.0007
204464_s_at,EDNRA,1.65923,0.00057
228057_at,DDIT4L,1.64139,0.0012
203868_s_at,VCAM1,1.56713,0.00114
240135_x_at,TIMP3,1.56208,0.00079
222450_at,TMEPAI,1.54708,0.0018
237802_at,XKR4,1.52385,0.00096
205991_s_at,PRRX1,1.51849,0.00066
212353_at,SULF1,1.51411,0.01152
243140_at,ACTA2,1.47495,0.00411
238852_at,PRRX1,1.44332,0.00205
225328_at,NA,1.40331,5.94E-05
201149_s_at,TIMP3,1.38918,0.00357
212354_at,SULF1,1.38045,0.01045
228766_at,CD36,1.37845,0.01359
201148_s_at,TIMP3,1.35071,0.00062
231213_at,PDE1A,1.34972,0.00396
225688_s_at,PHLDB2,1.30311,0.00071
201348_at,GPX3,1.28432,0.01424
214091_s_at,GPX3,1.27336,0.01916
225782_at,MSRB3,1.26285,0.00159
204777_s_at,MAL,1.23615,0.03622
229580_at,NA,1.23404,0.00284
213844_at,HOXA5,1.21749,0.03179
211597_s_at,HOPX,1.21114,0.01019
213496_at,LPPR4,1.21034,0.00152
206488_s_at,CD36,1.19461,0.02801
200974_at,ACTA2,1.19002,0.00452
208396_s_at,PDE1A,1.18948,0.00285
209869_at,ADRA2A,1.15779,0.00932
225803_at,FBXO32,1.11007,0.00093
205547_s_at,TAGLN,1.08185,0.00962
227646_at,NA,1.07354,0.00858
218087_s_at,SORBS1,1.0718,0.00443
203548_s_at,LPL,1.06316,0.01946
226047_at,MRVI1,1.04419,0.00078
225496_s_at,SYTL2,1.02599,0.0086
203865_s_at,ADARB1,1.01886,0.0002
219463_at,C20orf103,0.99576,0.06504
202177_at,GAS6,0.9903,0.00196
201215_at,PLS3,0.98971,0.0002
230214_at,MRVI1,0.98494,0.00452
201645_at,TNC,0.9585,0.03551
201579_at,FAT,0.95093,0.00406
214023_x_at,TUBB2B,0.93647,0.18937
214053_at,ERBB4,0.93302,0.04687
1555724_s_at,TAGLN,0.93273,0.01353
201616_s_at,CALD1,0.92199,0.00375
236029_at,FAT3,0.90678,0.05495
209301_at,CA2,0.89261,0.11606
232914_s_at,SYTL2,0.89214,0.02017
204379_s_at,FGFR3,0.88916,0.06658
214803_at,NA,0.88269,0.02837
229310_at,KLHL29,0.88213,0.01907
201617_x_at,CALD1,0.88147,0.01932
225540_at,MAP2,0.86436,0.05233
212412_at,PDLIM5,0.86433,5.03E-05
232204_at,EBF1,0.8636,0.02738
203571_s_at,C10orf116,0.85273,0.18418
212077_at,CALD1,0.83668,0.0065
225987_at,STEAP4,0.83402,0.10039
229613_at,NA,0.83375,0.01856
225790_at,MSRB3,0.83127,0.00219
228333_at,NA,0.82912,0.00783
205943_at,TDO2,0.82769,0.20406
229530_at,GUCY1A3,0.82543,0.03196
201117_s_at,CPE,0.81771,0.00432
203549_s_at,LPL,0.81186,0.03909
203243_s_at,PDLIM5,0.8114,0.00014
1598_g_at,GAS6,0.80039,0.0024
216235_s_at,EDNRA,0.78909,0.01295
225275_at,EDIL3,0.78592,0.10402
209183_s_at,C10orf10,0.78494,0.01833
223316_at,CCDC3,0.78138,0.01475
202273_at,PDGFRB,0.78006,0.00287
203323_at,CAV2,0.77258,0.00671
229947_at,PI15,0.77086,0.04347
223499_at,C1QTNF5,0.76232,0.00207
209656_s_at,TMEM47,0.75563,0.06694
201058_s_at,MYL9,0.74703,0.00147
227235_at,GUCY1A3,0.73968,0.03714
228776_at,GJC1,0.73249,0.03699
204894_s_at,AOC3,0.72802,0.03972
235046_at,NA,0.72292,0.02206
221942_s_at,GUCY1A3,0.72242,0.05409
204584_at,L1CAM,0.72124,0.15576
204072_s_at,FRY,0.7212,0.02017
218353_at,RGS5,0.71736,0.00733
203819_s_at,IGF2BP3,0.71148,0.33576
205609_at,ANGPT1,0.70469,0.00719
236234_at,PDE1A,0.70262,0.02501
203766_s_at,LMOD1,0.70101,0.01588
225728_at,SORBS2,0.69641,0.09968
205303_at,KCNJ8,0.69364,0.01471
204870_s_at,PCSK2,0.68757,0.08482
229487_at,NA,0.68749,0.03242
219895_at,FAM70A,0.68706,0.0195
210986_s_at,TPM1,0.68598,0.00681
201615_x_at,CALD1,0.68098,0.00631
211538_s_at,HSPA2,0.68027,0.03691
203695_s_at,DFNA5,0.68002,0.03143
202551_s_at,CRIM1,0.6743,0.00505
202274_at,ACTG2,0.67061,0.17223
205440_s_at,NPY1R,0.65367,0.0459
225911_at,NPNT,0.65245,0.10045
210605_s_at,MFGE8,0.64981,0.04486
202998_s_at,LOXL2,0.64932,0.11995
201830_s_at,NET1,0.64455,0.00996
227498_at,NA,0.64091,0.13807
205608_s_at,ANGPT1,0.64085,0.00946
204083_s_at,TPM2,0.63983,0.02102
209866_s_at,LPHN3,0.63923,0.21027
225895_at,SYNPO2,0.63671,0.13196
209655_s_at,TMEM47,0.63662,0.06198
203697_at,FRZB,0.63612,0.27613
222379_at,KCNE4,0.63508,0.00718
210987_x_at,TPM1,0.63329,0.01244
204803_s_at,RRAD,0.6324,0.10178
242828_at,FIGN,0.62533,0.19334
230482_at,ST6GALNAC5,0.62458,0.16748
218870_at,ARHGAP15,0.62221,0.04592
203698_s_at,FRZB,0.62182,0.2795
218717_s_at,LEPREL1,0.62103,0.09038
45297_at,EHD2,0.61727,0.00282
236656_s_at,NA,0.61528,0.02044
212473_s_at,MICAL2,0.61076,0.10202
209324_s_at,RGS16,0.6104,0.05221
201116_s_at,CPE,0.60884,0.02397
235368_at,ADAMTS5,0.60589,0.14357
216804_s_at,PDLIM5,0.60131,0.00125
229168_at,COL23A1,0.59535,0.09477
