"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Col6a3",2.09724189215444e-175,3.12754222045022,0.979,0.005,2.98416548834655e-171,7,"Col6a3"
"Ms4a4d",4.33857789997316e-169,2.04439411935845,0.875,0,6.17336249387181e-165,7,"Ms4a4d"
"Col6a2",2.71406014161635e-163,3.52404699339378,0.979,0.01,3.86183617550591e-159,7,"Col6a2"
"Col5a1",1.83254191157767e-157,2.96597259619981,0.938,0.008,2.60752388598386e-153,7,"Col5a1"
"Serpinf1",4.22251601567533e-156,2.78175942443867,0.917,0.007,6.00821803870443e-152,7,"Serpinf1"
"Cd34",1.37540209980523e-153,2.4474305211671,0.854,0.004,1.95705964781286e-149,7,"Cd34"
"Pdgfra",2.33545270332748e-153,2.30049258162675,0.854,0.004,3.32311565156468e-149,7,"Pdgfra"
"Mmp2",5.48339964951561e-153,3.22163320318726,0.958,0.012,7.80232936129576e-149,7,"Mmp2"
"Cygb",5.68120257320478e-153,2.83099023877138,0.958,0.012,8.08378314141308e-149,7,"Cygb"
"Islr",3.66843936399411e-152,2.54088143225704,0.896,0.007,5.21982237102722e-148,7,"Islr"
"Htra3",1.96143913718141e-151,2.70966910999765,0.875,0.006,2.79093174829542e-147,7,"Htra3"
"Mxra8",2.94260224106395e-151,1.91848842294776,0.979,0.014,4.1870287288099e-147,7,"Mxra8"
"Ogn",8.54959267656336e-150,3.48784478961301,0.833,0.004,1.2165215419482e-145,7,"Ogn"
"Mfap2",6.56665117110831e-149,1.89147886997567,0.833,0.004,9.34368795137001e-145,7,"Mfap2"
"Tnxb",1.95024039165031e-146,2.95929760999085,0.896,0.01,2.77499705327923e-142,7,"Tnxb"
"Fbn1",2.47589500210961e-146,3.66785428851481,0.958,0.016,3.52295099850177e-142,7,"Fbn1"
"Dpt",2.08100622445567e-145,3.58392590696969,0.917,0.012,2.96106375677798e-141,7,"Dpt"
"Clec3b",2.16244165995898e-145,4.031317824501,0.917,0.012,3.07693823795564e-141,7,"Clec3b"
"Lum",4.12975665979529e-142,3.95431682693938,0.938,0.016,5.87623075122272e-138,7,"Lum"
"Crispld2",1.08375611904341e-141,2.18894076830324,0.812,0.005,1.54207658178687e-137,7,"Crispld2"
"Colec12",2.00118156287664e-140,1.61762087554075,0.771,0.002,2.84748124581718e-136,7,"Colec12"
"Mrc2",2.17369840955028e-140,1.44159051144925,0.771,0.002,3.09295546694909e-136,7,"Mrc2"
"Slit3",9.150741593739e-140,2.01204915894531,0.854,0.008,1.30205902137312e-135,7,"Slit3"
"Ccl11",1.31139513352365e-139,2.88209451408779,0.833,0.007,1.86598413549081e-135,7,"Ccl11"
"Col6a1",1.69152165451337e-139,3.74945236159884,0.979,0.021,2.40686616220708e-135,7,"Col6a1"
"Ar",3.0425760350611e-137,1.62844446414188,0.792,0.005,4.32928144028844e-133,7,"Ar"
"Col5a2",3.49771953147613e-137,3.12098909371073,0.958,0.02,4.97690512133739e-133,7,"Col5a2"
"Slfn5",5.15722681673655e-137,2.06307128430489,0.854,0.01,7.33821803753444e-133,7,"Slfn5"
